"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"EFCAB6","22",30,43924732,44178198,4506,2.05e-05,4.4e-05,3.61e-06,240,593,37,242.6165772,505.3366265,52.64031742,0.104142142,-1.90741139,2.13538422,4.57e-19,0.653193487,0.346806513,"ENSG00000186976",64800
"EFCAB7","1",13,63991243,64038187,1890,5.72e-06,1.47e-05,1.92e-06,64,165,21,67.041817,164.7129439,25.81029501,0.230308565,-0.010941726,0.93791809,1.67e-12,0.189361539,0.810638461,"ENSG00000203965",84455
"EFCC1","3",8,128720471,128758691,1797,1.58e-05,3.18e-05,1.19e-06,35,50,5,35.04766912,62.04773406,5.061376583,0.00499189,0.748098475,0.027024523,0.00046692,0.43126227,0.568270811,"ENSG00000114654",79825
"EFEMP2","11",10,65634388,65639825,1332,8.66e-06,1.87e-05,1.06e-06,94,160,5,91.50533839,196.548936,13.90279445,-0.16167304,1.275132881,2.365184286,0.028388164,0.960636655,0.010975182,"ENSG00000172638",30008
"EFHB","3",13,19921122,19975510,2502,7.7e-06,2.15e-05,2.32e-06,75,296,27,87.83748441,236.8821318,30.31093362,0.849159473,-1.878751272,0.595717739,6.03e-17,0.025148412,0.974851588,"ENSG00000163576",151651
"EFHC1","6",11,52285208,52357139,1923,7.62e-06,2.06e-05,1.74e-06,72,263,20,90.996141,237.6654392,24.37046113,1.23453473,-0.803799173,0.876970716,5.06e-12,0.18887655,0.81112345,"ENSG00000096093",114327
"EFNA4","1",4,155036299,155041649,624,3.27e-06,7.01e-06,5.41e-07,31,49,6,33.37111157,69.62432345,7.261380087,0.254457805,1.208970202,0.463688201,0.000252891,0.533686274,0.466060835,"ENSG00000243364",1945
"EFR3A","8",23,132916559,133023142,2466,7.91e-06,2.3e-05,2.87e-06,106,264,10,83.32098817,227.7507047,32.87344711,-1.540268144,-1.17486029,3.951834468,0.009266191,0.990713781,2e-05,"ENSG00000132294",23167
"EFS","14",6,23826434,23834234,1686,8.74e-06,1.82e-05,9.29e-07,98,221,10,100.0111504,207.1650552,12.70166675,0.124675287,-0.470147556,0.750915547,2.45e-06,0.494202308,0.505795246,"ENSG00000100842",10278
"EGF","4",24,110834491,110932611,3624,1.23e-05,3.2e-05,3.69e-06,152,362,27,149.2600288,370.5084461,51.6536463,-0.139036337,0.21620478,3.397976376,7.01e-12,0.999591882,0.000408118,"ENSG00000138798",1950
"EGFL6","X",12,13587980,13651214,1665,7.25e-06,1.61e-05,1.8e-06,74,118,14,60.06672758,128.3769899,18.33088045,-1.114514032,0.447965595,1.002014954,2.66e-08,0.479907785,0.520092188,"ENSG00000198759",25975
"EGFL7","9",8,139562734,139566738,822,5.48e-06,1.14e-05,7.68e-07,58,105,15,47.32548148,97.66859301,9.002986304,-0.961945101,-0.362849487,-1.979846187,9.26e-13,0.0028445,0.9971555,"ENSG00000172889",51162
"EGFL8","6",8,32133942,32135733,882,5.87e-06,1.2e-05,8.76e-07,56,105,10,69.844545,138.7936596,13.28248253,1.026979495,1.403031175,0.892180005,3.52e-06,0.571678551,0.428317934,"ENSG00000241404",80864
"EGFLAM","5",23,38258856,38464088,3054,1.44e-05,3.24e-05,2.72e-06,188,398,21,165.3604193,361.6176165,38.3024827,-1.091446437,-0.93580001,2.769393465,9.38e-10,0.994801332,0.005198667,"ENSG00000164318",133584
"EGLN3","14",5,34395096,34419958,720,4.72e-06,9.34e-06,5.41e-07,44,42,5,55.28419398,107.1671346,8.073895757,0.94084773,3.079031545,1.071611047,0.002641336,0.790698521,0.206660144,"ENSG00000129521",112399
"EGR4","2",2,73518584,73520754,1770,1.78e-05,3.15e-05,8.51e-07,109,170,4,135.0583766,236.6773842,6.147178329,1.390069224,2.119906667,0.857866858,0.006266778,0.741293115,0.252440106,"ENSG00000135625",1961
"EHBP1L1","11",19,65343773,65359773,4572,2.6e-05,5.45e-05,3.79e-06,202,434,17,195.3602659,429.6062127,38.72194914,-0.294496228,-0.103686327,3.457880211,8.08e-07,0.999807515,0.000191677,"ENSG00000173442",254102
"EHD3","2",6,31457487,31489570,1608,9.76e-06,1.88e-05,9.08e-07,103,166,4,112.2544018,214.1536962,12.70199373,0.541496992,1.609471766,2.418647234,0.088534396,0.902369321,0.009096283,"ENSG00000013016",30845
"EHD4","15",6,42192842,42264692,1626,1.25e-05,2.23e-05,1.19e-06,106,177,7,137.377774,242.2197908,14.83508121,1.659639182,2.049703676,2.015061206,0.001496806,0.967256232,0.031246962,"ENSG00000103966",30844
"EHHADH","3",7,184910013,184971810,2172,8.15e-06,2.05e-05,1.5e-06,107,260,17,92.97599471,230.8289156,19.44061479,-0.90164643,-0.939126654,0.548319804,8.5e-11,0.142513409,0.857486591,"ENSG00000113790",1962
"EHMT2","6",28,31847860,31865454,3633,2.06e-05,4.77e-05,3.41e-06,190,293,12,221.3759569,511.124596,47.03212595,1.307319552,4.71908402,5.060097171,0.064471471,0.935528485,4.4e-08,"ENSG00000204371",10919
"EIF2A","3",14,150264589,150301698,1758,5.81e-06,1.39e-05,1.62e-06,60,141,9,58.3211921,132.1878564,17.65612199,-0.136281787,-0.374886695,2.040635358,0.000158939,0.967780657,0.032060404,"ENSG00000144895",83939
"EIF2AK1","7",15,6064303,6098714,1893,9.12e-06,1.91e-05,1.83e-06,96,218,11,98.54975824,204.3479025,25.66521073,0.159228569,-0.467122546,2.867514263,0.000121058,0.997788588,0.002090354,"ENSG00000086232",27102
"EIF2AK2","2",15,37334415,37374949,1656,5.78e-06,1.38e-05,1.63e-06,80,143,7,70.98675048,160.1684776,24.35143988,-0.663196432,0.663529597,3.483075339,0.051553423,0.948261724,0.000184853,"ENSG00000055332",5610
"EIF2AK3","2",17,88857253,88926792,3351,1.43e-05,3.31e-05,2.83e-06,142,265,11,149.6074998,351.8147738,37.84820095,0.385580228,2.263878714,4.32297012,0.011423549,0.988573466,2.98e-06,"ENSG00000172071",9451
"EIF2AK4","15",39,40226396,40327285,4950,2.22e-05,5.11e-05,4.86e-06,224,457,28,258.0370074,575.5285575,68.83438183,1.313589799,2.416607564,4.875430618,8.33e-10,0.999999912,8.68e-08,"ENSG00000128829",440275
"EIF2B2","14",8,75469693,75475891,1056,5.4e-06,1.21e-05,7.61e-07,55,102,7,63.37055439,137.3263387,11.8077441,0.651868014,1.474476185,1.385950013,0.000428256,0.858614235,0.14095751,"ENSG00000119718",8892
"EIF2D","1",15,206765106,206785695,1755,6.96e-06,1.57e-05,1.84e-06,78,153,13,83.50521845,180.8415079,26.71271026,0.373480006,1.012651523,2.628173482,6.6e-06,0.994455937,0.005537466,"ENSG00000143486",1939
"EIF3K","19",8,39109908,39127560,657,3.4e-06,6.89e-06,7.75e-07,40,62,6,39.93275744,77.63600688,11.73182723,-0.006596485,0.867982138,1.657677184,0.002331635,0.924475059,0.073193306,"ENSG00000178982",27335
"EIF4E3","3",7,71733832,71774518,675,5.05e-06,8.97e-06,8.43e-07,18,38,5,20.22568648,49.68143798,9.09430161,0.306805028,0.810617075,1.344884156,0.004232503,0.865055706,0.130711791,"ENSG00000163412",317649
"EIF4EBP3","5",3,139927322,139928847,303,2.21e-06,3.88e-06,2.9e-07,9,23,2,12.5481,23.69487613,3.244293921,0.620949707,0.069823088,0.684309486,0.054243025,0.702120832,0.243636143,"ENSG00000243056",8637
"ELAC2","17",24,12896134,12921264,2481,1.32e-05,2.91e-05,2.37e-06,157,295,22,141.6166871,303.3377271,34.52326698,-0.801385933,0.234152883,2.111307089,4.06e-11,0.920902555,0.079097445,"ENSG00000006744",60528
"ELF5","11",7,34501764,34533116,798,3.27e-06,7.33e-06,9.1e-07,43,104,5,38.61918221,82.8573918,12.83901741,-0.437022062,-1.136081391,2.167132333,0.019086514,0.961465429,0.019448057,"ENSG00000135374",2001
"ELK4","1",4,205585673,205593010,1296,4.31e-06,1.03e-05,5.81e-07,58,123,3,50.557746,118.8760906,8.26432857,-0.648873167,-0.185002347,1.813964887,0.084588675,0.871337361,0.044073964,"ENSG00000158711",2005
"ELL3","15",11,44065313,44069099,1194,4.09e-06,1.18e-05,1.2e-06,48,125,11,46.47741938,127.4936108,16.5757358,-0.138454983,0.108018731,1.356611584,3.17e-06,0.783663594,0.216333231,"ENSG00000128886",80237
"ELMO2","20",20,44995998,45023121,2163,8.61e-06,2.22e-05,2.59e-06,106,140,13,104.3692877,256.2674453,37.32434361,-0.098954866,3.552448018,3.943980312,0.000350882,0.999630464,1.87e-05,"ENSG00000062598",63916
"ELMO3","16",20,67233070,67237780,2322,1.35e-05,3.21e-05,2.07e-06,153,326,16,149.5730445,346.6924503,29.25516619,-0.173714853,0.543572086,2.427580112,1.2e-07,0.985878914,0.014120966,"ENSG00000102890",79767
"ELMOD3","2",10,85584321,85617621,1176,4.65e-06,1.1e-05,1.08e-06,47,126,16,55.54343102,125.879285,15.99346604,0.710665645,-0.005261948,-0.001618434,4.56e-11,0.053369971,0.946630029,"ENSG00000115459",84173
"ELN","7",33,73442517,73483030,2175,1.4e-05,2.47e-05,2.28e-06,163,269,15,160.0398346,275.3710344,37.74871894,-0.145062953,0.187786733,3.667715078,1.52e-05,0.999915497,6.93e-05,"ENSG00000049540",2006
"ELOVL2","6",8,10984013,11044463,891,3.7e-06,8.56e-06,9.73e-07,42,104,8,45.01881627,99.86684841,14.02977531,0.278926374,-0.202295867,1.59465033,0.000198697,0.902737543,0.09706376,"ENSG00000197977",54898
"ELOVL3","10",4,103986305,103989009,813,3.34e-06,7.95e-06,4.82e-07,40,77,4,39.488792,91.7638084,7.13536371,-0.050432662,0.75383998,1.16270501,0.010089351,0.824710912,0.165199737,"ENSG00000119915",83401
"ELOVL7","5",7,60050450,60083224,846,2.94e-06,7.76e-06,7.24e-07,42,87,6,34.65185884,87.05630406,10.78390574,-0.773862086,0.002951378,1.44305964,0.001560922,0.882232714,0.116206363,"ENSG00000164181",79993
"ELP2","18",23,33709896,33754604,2676,9.23e-06,2.22e-05,2.88e-06,114,266,18,103.0993755,238.1846256,38.2614209,-0.665536399,-0.881545891,3.244733481,1.31e-07,0.999469907,0.000529962,"ENSG00000134759",55250
"ELP3","8",15,27950731,28047242,1644,6.39e-06,1.64e-05,1.95e-06,81,149,15,77.90029843,190.4488706,28.00697914,-0.217720587,1.46906238,2.434630191,3.93e-07,0.987202104,0.012797504,"ENSG00000134014",55140
"ELP4","11",10,31531331,31805072,1275,5.33e-06,1.24e-05,1.07e-06,62,169,6,64.02618269,142.6204218,16.07825007,0.156981578,-1.080423046,2.489748295,0.012558281,0.979923544,0.007518175,"ENSG00000109911",26610
"ELP5","17",8,7155821,7163004,951,4.44e-06,9.91e-06,7.13e-07,55,114,9,51.37958368,111.040981,11.0550796,-0.313121665,-0.137347175,0.612262138,6.48e-06,0.465706883,0.53428664,"ENSG00000170291",23587
"ELP6","3",7,47537558,47555080,801,4.18e-06,8.61e-06,5.07e-07,41,81,5,50.337434,100.5202906,8.67701623,0.815889424,0.952304972,1.236516849,0.003507899,0.83805377,0.158438331,"ENSG00000163832",54859
"ELSPBP1","19",5,48511924,48525584,672,2.83e-06,6.04e-06,7.33e-07,36,73,7,33.72117844,69.45291712,10.04670207,-0.243280965,-0.208181542,0.952155567,0.00018142,0.702779959,0.297038621,"ENSG00000169393",64100
"EMB","5",9,49695106,49736985,984,4.04e-06,9.11e-06,8.12e-07,33,83,8,33.54592569,76.85477936,11.61226964,0.058434118,-0.342861274,1.05005298,6.39e-05,0.717407272,0.282528794,"ENSG00000170571",133418
"EMC1","1",23,19545796,19578003,2982,1.37e-05,3.26e-05,3.03e-06,160,320,28,161.8682775,372.3360794,43.52710631,0.091036411,1.326631326,2.331311565,6.04e-14,0.93520674,0.06479326,"ENSG00000127463",23065
"EMC10","19",7,50979801,50985516,789,5.9e-06,1.17e-05,1.06e-06,66,103,11,52.10584236,100.46991,11.87029886,-1.193269464,-0.123462806,0.250223038,1.56e-07,0.224495181,0.775504663,"ENSG00000161671",284361
"EMC2","8",11,109455887,109498827,894,2.83e-06,7.46e-06,1.12e-06,35,75,9,34.02047783,83.84634729,16.12415515,-0.10411003,0.472539907,1.757456427,8.61e-05,0.929791463,0.070122436,"ENSG00000104412",9694
"EMC9","14",5,24608218,24610513,627,3.38e-06,7.5e-06,5.28e-07,27,83,6,39.96723051,86.10694822,7.817033241,1.271582806,0.163768987,0.643771279,0.000353828,0.606584552,0.39306162,"ENSG00000100908",51016
"EMCN","4",11,101331477,101439071,786,2.52e-06,6.33e-06,7.62e-07,28,106,9,31.58779531,72.6564726,12.60106611,0.395747345,-1.91333423,1.004886972,1.65e-05,0.666582651,0.33340082,"ENSG00000164035",51705
"EME1","17",8,48452569,48458300,1752,6.17e-06,1.51e-05,1.21e-06,73,201,16,71.72152066,171.7780283,16.49114945,-0.093587678,-1.090542564,0.119805806,7.07e-11,0.068599501,0.931400499,"ENSG00000154920",146956
"EME2","16",8,1823228,1826239,1140,9.36e-06,1.93e-05,1.08e-06,108,208,17,83.55405393,169.9959306,11.81399121,-1.65795457,-1.425698516,-1.494598923,9.5e-14,0.002759159,0.997240841,"ENSG00000197774",197342
"EMG1","12",7,7080086,7084971,732,2.68e-06,7.59e-06,9.2e-07,48,97,5,27.47087272,73.39600804,11.31102246,-2.428196329,-1.347614478,1.858824949,0.010603896,0.945929627,0.043466477,"ENSG00000126749",10436
"EMID1","22",15,29602027,29654933,1332,6.78e-06,1.58e-05,1.18e-06,57,140,5,55.23821192,133.1352099,14.81961449,-0.146954811,-0.291003296,2.52676981,0.039707727,0.953633156,0.006659118,"ENSG00000186998",129080
"EMILIN1","2",8,27301933,27308883,3051,1.74e-05,3.98e-05,1.95e-06,158,357,8,174.7444379,395.0291445,22.51065556,0.785267145,0.935875297,3.029581673,0.005216561,0.99365921,0.001124229,"ENSG00000138080",11117
"EMILIN2","18",8,2847186,2913402,3162,1.94e-05,3.73e-05,1.87e-06,163,353,16,155.280606,318.6070241,20.33941135,-0.38403817,-0.942451202,0.953128224,1.6e-09,0.367748618,0.632251381,"ENSG00000132205",84034
"EMILIN3","20",4,39989907,39995274,2301,1.33e-05,2.98e-05,1.27e-06,137,297,7,126.826857,289.6657497,14.66061301,-0.560011693,-0.210778651,1.981879164,0.001398097,0.964387677,0.034214226,"ENSG00000183798",90187
"EML2","19",22,46112920,46148702,2553,1.79e-05,3.65e-05,2.33e-06,129,240,18,131.5865656,260.7220894,25.55158564,0.13978897,0.627713228,1.479854053,7.58e-10,0.671944659,0.32805534,"ENSG00000125746",24139
"EMP2","16",4,10626761,10641474,504,2.97e-06,5.97e-06,3.13e-07,37,86,6,34.94867425,68.61463927,5.173518355,-0.215114526,-1.026577477,-0.359939867,5.9e-05,0.271748243,0.728192779,"ENSG00000213853",2013
"EMP3","19",4,48830101,48833727,492,3.05e-06,5.77e-06,6.48e-07,25,51,6,34.8799597,65.0304345,8.685775585,1.037090593,0.850999148,0.90272427,0.000573648,0.710622248,0.288804104,"ENSG00000142227",2014
"ENAM","4",8,71495217,71510572,3429,1.05e-05,2.81e-05,1.88e-06,161,420,14,122.799321,321.8488437,24.64218514,-2.137090559,-2.676000193,2.123639937,5.67e-07,0.964727513,0.03527192,"ENSG00000132464",10117
"ENDOD1","11",2,94823091,94862743,1503,7.5e-06,1.67e-05,8.32e-07,64,164,9,66.38453628,157.3054552,8.978293123,0.181434803,-0.261073435,-0.007176128,1.42e-06,0.22224828,0.777750298,"ENSG00000149218",23052
"ENDOG","9",3,131580963,131584889,894,9.82e-06,1.79e-05,5e-07,15,55,3,32.83422286,63.93666603,2.759925712,1.929479786,0.546659813,-0.143148452,0.006243353,0.503907606,0.489849041,"ENSG00000167136",2021
"ENDOU","12",10,48104584,48119196,1233,5.35e-06,1.22e-05,1.13e-06,54,121,16,55.7833346,118.3423402,13.7646214,0.148022912,-0.119495735,-0.596840957,6.22e-12,0.016748608,0.983251392,"ENSG00000111405",8909
"ENDOV","17",10,78388994,78409943,849,6.06e-06,1.19e-05,1.18e-06,60,126,10,51.04989903,97.19663269,12.81381264,-0.776568719,-1.429006313,0.778656114,2.63e-06,0.509256447,0.490740925,"ENSG00000173818",284131
"ENGASE","17",14,77071026,77082431,2232,1.36e-05,3.06e-05,2.14e-06,149,315,30,143.9051532,312.830844,28.45963236,-0.26329242,-0.059987576,-0.286021999,8.06e-21,0.000946565,0.999053435,"ENSG00000167280",64772
"ENKD1","16",7,67697063,67700345,1041,6.32e-06,1.54e-05,7.53e-07,43,148,8,64.31057007,155.6754453,9.756450554,1.647416287,0.300889795,0.557031417,2.15e-05,0.483817318,0.516161144,"ENSG00000124074",84080
"ENKUR","10",6,25273298,25304865,771,2.64e-06,6.77e-06,5.49e-07,36,98,8,32.10184112,78.77407972,8.590314495,-0.426524653,-1.059526773,0.199511802,9.61e-06,0.333823753,0.666166639,"ENSG00000151023",219670
"ENO1","1",11,8921418,8934967,1305,6.64e-06,1.36e-05,1e-06,69,136,6,78.76833105,156.6775057,15.56770008,0.682329209,0.807999598,2.402066371,0.010373413,0.979738802,0.009887785,"ENSG00000074800",2023
"ENO2","12",11,7024996,7031963,1305,5.52e-06,1.41e-05,1.12e-06,69,109,6,66.50305952,162.9928995,17.13279388,-0.189817716,2.068563334,2.664279331,0.01857771,0.977166774,0.004255516,"ENSG00000111674",2026
"ENO3","17",11,4855124,4860342,1305,6.92e-06,1.49e-05,1.12e-06,82,191,16,81.40427798,169.8119727,16.46534222,-0.040932475,-0.795283946,0.11359961,6.91e-11,0.067719309,0.932280691,"ENSG00000108515",2027
"ENOPH1","4",6,83351982,83381273,786,3.78e-06,7.7e-06,7.7e-07,38,52,6,44.95922427,88.85287785,11.05902015,0.643429039,1.912282996,1.506946166,0.001757841,0.89638739,0.101854769,"ENSG00000145293",58478
"ENOSF1","18",15,674304,712506,1353,7.99e-06,1.48e-05,1.32e-06,61,178,17,64.57595053,128.4060972,19.91904136,0.275870667,-2.140680576,0.647881707,1.26e-10,0.176876518,0.823123482,"ENSG00000132199",55556
"ENOX1","13",14,43788125,43987050,1932,7.9e-06,2.03e-05,1.97e-06,93,155,8,94.41628408,233.3471397,27.78754165,0.090359781,2.508639006,3.718402852,0.036401417,0.963534487,6.41e-05,"ENSG00000120658",55068
"ENOX2","X",13,129759287,129843265,1833,6.39e-06,1.84e-05,1.63e-06,56,142,7,52.8066735,143.4466411,16.77057607,-0.27242623,0.059077192,2.363392603,0.003145551,0.985593488,0.011260961,"ENSG00000165675",10495
"ENPEP","4",20,111397570,111482714,2874,1.26e-05,2.74e-05,2.46e-06,143,335,31,148.6703179,312.5595542,35.29580525,0.288299165,-0.620841404,0.716263343,3.58e-19,0.016944416,0.983055584,"ENSG00000138792",2028
"ENPP1","6",25,132129175,132211651,2778,1.2e-05,2.74e-05,2.7e-06,113,236,15,104.3655595,247.2841618,38.86765877,-0.52396581,0.350985389,3.792322594,2.31e-05,0.999938899,3.8e-05,"ENSG00000197594",5167
"ENPP2","8",26,120569760,120651020,2748,1.07e-05,2.65e-05,2.75e-06,142,288,12,129.1478655,304.1821511,40.86915066,-0.701099746,0.453823663,4.473277976,0.006828198,0.993170523,1.28e-06,"ENSG00000136960",5168
"ENPP3","6",25,131958524,132068096,2628,8.51e-06,2.22e-05,2.56e-06,110,299,30,105.3223019,258.3165466,38.53272774,-0.282567136,-1.238108482,1.361641193,6.44e-17,0.174729562,0.825270438,"ENSG00000154269",5169
"ENPP5","6",3,46129062,46135999,1434,5.24e-06,1.23e-05,7.34e-07,53,145,8,60.638872,141.077352,9.57898508,0.60813925,-0.161533182,0.505368311,1.92e-05,0.46007367,0.539907164,"ENSG00000112796",59084
"ENPP6","4",8,185012329,185138972,1323,6.77e-06,1.47e-05,9.15e-07,89,187,11,80.037097,170.3113002,13.72059314,-0.621086785,-0.625485388,0.727556729,6.11e-07,0.438795274,0.561204115,"ENSG00000164303",133121
"ENPP7","17",5,77704901,77711845,1377,1.09e-05,1.94e-05,7.07e-07,109,226,13,121.6826239,215.371962,9.719197156,0.712760307,-0.354220253,-1.042448714,2.21e-10,0.019173663,0.980826337,"ENSG00000182156",339221
"ENTHD1","22",6,40139683,40283752,1824,6e-06,1.47e-05,9.64e-07,59,192,10,70.17618554,167.8826705,13.35306051,0.827081603,-0.910420848,0.908951444,3.67e-06,0.580932538,0.419063793,"ENSG00000176177",150350
"ENTPD2","9",9,139943108,139948449,1488,1.05e-05,2.02e-05,1.17e-06,91,193,11,82.82989372,164.5509699,14.39686367,-0.556523894,-1.084758829,0.886816715,9.49e-07,0.529242474,0.470756577,"ENSG00000054179",954
"ENTPD3","3",10,40429548,40468999,1590,5.98e-06,1.4e-05,1.09e-06,68,187,24,70.76980904,160.7846379,16.32018926,0.204115282,-1.011231843,-1.883118449,2.56e-19,0.000141873,0.999858127,"ENSG00000168032",956
"ENTPD4","8",12,23290438,23307413,1851,8.62e-06,1.94e-05,2.51e-06,110,241,22,100.9990999,220.8048402,32.97782237,-0.555234742,-0.664753097,1.893628938,2.07e-11,0.835451907,0.164548093,"ENSG00000197217",9583
"ENTPD5","14",13,74433630,74454805,1287,4.5e-06,1.06e-05,1.4e-06,60,144,10,55.14036296,121.9931836,20.90793245,-0.405712869,-0.974553153,2.363069981,0.000105198,0.987569318,0.012325484,"ENSG00000187097",957
"ENTPD6","20",14,25187172,25206233,1455,9.06e-06,1.74e-05,1.24e-06,89,174,10,102.5242104,191.6356804,18.97309331,0.82803341,0.623118868,2.040623096,4.99e-05,0.965878344,0.034071757,"ENSG00000197586",955
"ENTPD7","10",12,101419713,101464440,1815,6.71e-06,1.77e-05,2.26e-06,89,203,17,79.15300635,201.7665697,29.56667669,-0.686150333,-0.042471321,2.289332476,2.57e-08,0.974496986,0.025502988,"ENSG00000198018",57089
"ENTPD8","9",9,140329365,140332737,1488,9.81e-06,1.83e-05,1.11e-06,110,220,12,103.9252025,190.3835356,14.92990747,-0.369420512,-1.049870075,0.751129887,1.72e-07,0.40934387,0.590655958,"ENSG00000188833",377841
"EOGT","3",12,69026768,69058997,1332,4.97e-06,1.26e-05,1.29e-06,74,149,11,60.31601862,144.8727751,19.11603212,-1.092309154,-0.167717573,1.838800445,9.79e-06,0.934081868,0.065908346,"ENSG00000163378",285203
"EPB41","1",19,29313949,29442309,2595,9.24e-06,2.36e-05,2.39e-06,106,259,9,110.5001678,270.5245434,33.69762021,0.265399299,0.3427167,4.214491437,0.062109871,0.93788449,5.64e-06,"ENSG00000159023",2035
"EPB41L3","18",21,5394681,5489182,3264,1.73e-05,3.63e-05,2.83e-06,215,341,11,200.9844017,413.0604406,40.4134328,-0.612886402,1.734228747,4.583239665,0.029278388,0.970720873,7.39e-07,"ENSG00000082397",23136
"EPB41L4A","5",23,111500686,111754736,2061,8.14e-06,2.16e-05,2.58e-06,114,291,23,96.43316722,239.5322485,36.93154056,-1.10899505,-1.626559924,2.270858865,1.99e-11,0.95156514,0.04843486,"ENSG00000129595",64097
"EPB41L5","2",24,120776660,120932483,2202,7.6e-06,1.97e-05,2.71e-06,103,251,11,94.12125454,227.7622848,39.74297726,-0.567358351,-0.753127803,4.516387969,0.022933841,0.977065093,1.07e-06,"ENSG00000115109",57669
"EPB42","15",13,43489499,43513023,2166,9.48e-06,2.24e-05,1.81e-06,107,245,15,111.5326639,255.9616699,25.62928257,0.266075787,0.335125037,2.079818379,1.56e-07,0.955587191,0.044412653,"ENSG00000166947",2038
"EPCAM","2",9,47596644,47613752,945,4.1e-06,9.13e-06,9.93e-07,60,136,11,43.39960593,97.19711092,14.02894223,-1.562157556,-1.925102254,0.801065831,7.5e-07,0.479893423,0.520105827,"ENSG00000119888",4072
"EPDR1","7",3,37960541,37989998,675,4.36e-06,8.8e-06,4.7e-07,41,91,3,40.49475975,81.14435502,5.649765795,-0.049220699,-0.535145724,1.10428692,0.029388014,0.804855059,0.165756927,"ENSG00000086289",54749
"EPG5","18",44,43432431,43547205,7740,2.88e-05,6.83e-05,6.57e-06,386,795,29,339.4637895,779.328256,91.22494245,-1.56582648,-0.274582186,6.453530774,6.94e-07,0.999999306,1.12e-12,"ENSG00000152223",57724
"EPGN","4",5,75174250,75180354,465,1.78e-06,3.81e-06,4.63e-07,18,56,4,18.680659,39.2129026,5.06464782,0.097630074,-1.311226299,0.46862019,0.003492546,0.619325486,0.377181969,"ENSG00000182585",255324
"EPHA1","7",18,143088549,143105898,2931,1.42e-05,3.54e-05,2.78e-06,169,376,22,149.5672225,362.9480301,35.1727431,-0.985068996,-0.335097587,2.20020331,5.3e-11,0.942861558,0.057138442,"ENSG00000146904",2041
"EPHA10","1",17,38184043,38230738,3027,2.52e-05,4.95e-05,2.92e-06,167,342,28,198.4581095,407.1060026,29.71183445,1.384355235,1.578278887,0.311090482,3.16e-18,0.008583994,0.991416006,"ENSG00000183317",284656
"EPHA3","3",17,89156898,89528652,2952,1.09e-05,2.75e-05,2.81e-06,139,306,11,129.3984147,316.2936884,38.70758367,-0.523273339,0.283101836,4.411541393,0.015685962,0.984312164,1.87e-06,"ENSG00000044524",2042
"EPHA5","4",18,66189831,66535460,3114,1.23e-05,3.14e-05,2.36e-06,169,320,12,138.9568406,346.2908946,33.19836676,-1.579995154,0.691037165,3.644464656,0.00039007,0.999530763,7.92e-05,"ENSG00000145242",2044
"EPHA8","1",17,22890128,22928234,3018,2.24e-05,4.73e-05,2.53e-06,183,447,18,223.3901713,472.4406797,31.77546456,1.675303098,0.572495172,2.420750289,1.14e-08,0.983030391,0.016969598,"ENSG00000070886",2046
"EPHX1","1",8,226016430,226033048,1368,6.95e-06,1.45e-05,1.06e-06,89,158,12,80.14028972,163.7128206,14.84060243,-0.613540906,0.218385673,0.730422918,1.62e-07,0.397801202,0.602198636,"ENSG00000143819",2052
"EPHX2","8",19,27348725,27402039,1668,8.19e-06,1.79e-05,1.52e-06,96,217,21,92.05069492,195.9335352,24.34964368,-0.255186195,-0.736129958,0.672422159,4.92e-13,0.096343112,0.903656888,"ENSG00000120915",2053
"EPHX3","19",7,15338247,15343022,1083,7.25e-06,1.47e-05,1.01e-06,62,141,11,69.65954061,143.3054954,13.44128402,0.568933949,0.094199835,0.659610614,5.05e-07,0.402263767,0.597735728,"ENSG00000105131",79852
"EPHX4","1",7,92495636,92528843,1089,4.25e-06,1.06e-05,1.09e-06,35,97,5,43.65701726,107.1988314,14.35669197,0.812252106,0.481804188,2.446159814,0.033543927,0.957879629,0.008576444,"ENSG00000172031",253152
"EPM2A","6",4,145948551,146056634,996,6.78e-06,1.39e-05,6.39e-07,52,97,7,47.70589576,105.8223653,7.440508971,-0.385421164,0.419483043,0.159971698,3.59e-05,0.368559658,0.631404445,"ENSG00000112425",7957
"EPN3","17",9,48613917,48619518,1899,1.32e-05,2.58e-05,1.25e-06,144,276,15,139.9839217,276.3774096,17.21447125,-0.210433513,0.011103684,0.528704368,1.33e-09,0.190008941,0.809991057,"ENSG00000049283",55040
"EPOR","19",8,11488659,11494883,1527,1.16e-05,2.18e-05,9.77e-07,84,131,4,101.4271122,193.4867343,11.52831559,1.0727476,2.197244765,2.196365416,0.058450672,0.924054965,0.017494364,"ENSG00000187266",2057
"EPPIN","20",5,44166171,44175996,540,2.06e-06,4.6e-06,6.81e-07,19,61,7,24.273711,52.7196643,9.17475795,0.663586613,-0.55779975,0.711218937,0.000111214,0.596925697,0.402963089,"ENSG00000101448",57119
"EPPIN-WFDC6","20",5,44166171,44175996,540,2.06e-06,4.6e-06,6.81e-07,19,61,7,24.273711,52.7196643,9.17475795,0.663586613,-0.55779975,0.711218937,0.000111214,0.596925697,0.402963089,"ENSG00000249139",100526773
