"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"AUTS2","7",19,69064639,70255982,3780,2.5e-05,5.11e-05,2.86e-06,256,379,5,258.5666201,523.7259265,38.20030676,0.098951293,3.09321905,5.321062387,0.996187482,0.003812518,9.39e-11,"ENSG00000158321",26053
"AZIN1","8",10,103840794,103855880,1347,4.31e-06,1.07e-05,8.96e-07,54,102,0,51.94750334,123.3476431,14.05213888,-0.176542919,0.94015654,3.713307604,0.991669447,0.008328685,1.87e-06,"ENSG00000155096",51582
"B4GALT5","20",9,48252848,48330227,1167,5.82e-06,1.38e-05,9.44e-07,52,84,0,62.58632963,146.3751367,14.048396,0.829574089,2.521704017,3.712813419,0.991657871,0.008340254,1.87e-06,"ENSG00000158470",9334
"B4GALT6","18",9,29205576,29264389,1149,4.58e-06,1.18e-05,1.06e-06,51,90,0,55.39043888,136.7883163,15.68906931,0.365712733,1.956722493,3.923632229,0.995466888,0.00453269,4.22e-07,"ENSG00000118276",9331
"BACE1","11",9,117160281,117186511,1506,8.13e-06,1.77e-05,1.27e-06,60,112,2,88.66874987,191.6863841,17.65831255,1.887439026,2.815172565,3.691135398,0.944278809,0.055712783,8.41e-06,"ENSG00000186318",23621
"BACE2","21",9,42540190,42647551,1557,1.1e-05,2.08e-05,9.69e-07,86,138,1,102.9135871,198.1910398,13.70870201,1.033591973,2.091250696,3.400108307,0.952644809,0.047327614,2.76e-05,"ENSG00000182240",25825
"BAG6","6",24,31606907,31619540,3399,1.46e-05,3.77e-05,2.83e-06,178,306,2,167.0964473,417.6932647,40.36127399,-0.522920677,2.673097527,5.981364767,0.999987886,1.21e-05,9.28e-15,"ENSG00000204463",7917
"BAHD1","15",6,40750663,40758329,2343,1.14e-05,3.04e-05,1.83e-06,131,274,2,130.6198987,344.3727821,22.95590604,-0.020617819,1.854842015,4.332602845,0.991930032,0.008069897,7.08e-08,"ENSG00000140320",22893
"BANP","16",13,88008721,88110267,1560,1.27e-05,2.25e-05,1.48e-06,116,130,2,122.7901562,214.4054005,18.49595741,0.379883257,2.819478718,3.799520553,0.958647668,0.041348352,3.98e-06,"ENSG00000172530",54971
"BAZ1A","14",26,35222713,35343810,4671,1.49e-05,4.18e-05,4.91e-06,179,349,5,173.1906503,467.9499673,64.23547937,-0.273659818,2.689559846,7.321230934,0.999999774,2.26e-07,4.72e-21,"ENSG00000198604",11177
"BAZ1B","7",19,72856525,72936263,4452,1.53e-05,4.29e-05,3.73e-06,197,308,2,172.8829587,477.9697787,49.243349,-1.137094674,3.802664335,6.668936575,0.999999563,4.37e-07,2.84e-18,"ENSG00000009954",9031
"BAZ2A","12",29,56992401,57029969,5718,2.08e-05,5.86e-05,4.87e-06,227,539,4,220.118119,598.5100168,59.31057926,-0.287560961,1.189791037,7.114294437,0.999999726,2.74e-07,3.73e-20,"ENSG00000076108",11176
"BAZ2B","2",35,160176775,160335230,6507,1.96e-05,5.34e-05,5.58e-06,266,641,11,230.8855669,602.7785873,75.04648971,-1.432637364,-0.761454842,7.323519103,0.99992144,7.86e-05,5.01e-19,"ENSG00000123636",29994
"BBX","3",15,107429307,107524304,2826,9.82e-06,2.49e-05,2.4e-06,114,282,5,112.6833389,277.6613415,31.686852,-0.076896494,-0.127355703,4.69620953,0.958097849,0.041902117,3.41e-08,"ENSG00000114439",56987
"BCAR1","16",7,75263408,75298398,2751,2.05e-05,3.81e-05,1.77e-06,222,415,1,205.2240512,379.7870012,18.91319469,-0.725974027,-0.883790655,4.080189371,0.992956578,0.007043171,2.51e-07,"ENSG00000050820",9564
"BCAR3","1",11,94027797,94140486,2478,1.24e-05,2.74e-05,1.9e-06,117,316,4,140.1477764,302.6118014,25.3250476,1.212176994,-0.376439961,4.197633609,0.916779855,0.08321919,9.55e-07,"ENSG00000137936",8412
"BCAS3","17",24,58756818,59469486,2787,1.15e-05,2.9e-05,3.22e-06,136,266,6,137.8888691,333.2582042,45.81721419,0.099722637,1.802068689,5.827016602,0.998848202,0.001151798,1.02e-12,"ENSG00000141376",54828
"BCL11B","14",4,99640487,99737555,2685,3.09e-05,4.92e-05,1.3e-06,204,157,1,268.794619,428.625315,12.59187798,2.450067335,6.417232445,3.235922815,0.929785242,0.070140307,7.45e-05,"ENSG00000127152",64919
"BCL2L11","2",3,111881322,111921808,597,2.6e-06,6.46e-06,7.15e-07,31,87,0,29.97305902,72.45589214,9.199863832,-0.116286414,-0.83573147,3.004556647,0.950822922,0.049028141,0.000148937,"ENSG00000153094",10018
"BCL6","3",8,187440245,187451481,2121,9.24e-06,2.49e-05,1.57e-06,110,202,2,105.6191188,280.3898916,20.86467014,-0.264266203,2.289788764,4.091034335,0.982525139,0.017474389,4.71e-07,"ENSG00000113916",604
"BCL9L","11",8,118769123,118780648,4500,2.6e-05,5.52e-05,2.26e-06,311,565,2,277.8492532,589.9797896,26.87447496,-1.23292747,0.503021826,4.753064062,0.998124599,0.001875399,2.01e-09,"ENSG00000186174",283149
"BCOR","X",14,39911361,39937182,5268,2.82e-05,5.81e-05,3.19e-06,219,374,0,204.914613,418.4693086,27.52754313,-0.610003325,1.063273371,5.197247441,0.999945621,5.44e-05,8.78e-12,"ENSG00000183337",54880
"BCORL1","X",12,129139207,129190111,5136,2.71e-05,5.7e-05,3.26e-06,198,341,4,214.9836504,446.547763,29.57113249,0.71809012,2.443045908,4.658066344,0.981790312,0.018209667,2.14e-08,"ENSG00000085185",63035
"BCR","22",23,23523147,23657709,3816,2.92e-05,5.56e-05,2.89e-06,244,408,2,299.2134542,561.1894397,37.70000701,1.97881029,3.162936364,5.759533292,0.999967225,3.28e-05,1.05e-13,"ENSG00000186716",613
"BDNF","11",2,27679367,27695831,990,4.45e-06,1.02e-05,7.64e-07,52,69,0,47.78487077,109.7062443,8.975042883,-0.378020412,1.900909498,2.967617763,0.946719308,0.053098691,0.000182,"ENSG00000176697",627
"BECN1","17",11,40962777,40975895,1353,5.45e-06,1.33e-05,1.33e-06,49,112,0,64.73762427,151.6237626,19.03264626,1.212579268,1.573942976,4.321547825,0.998697776,0.001302204,2.01e-08,"ENSG00000126581",8678
"BEND4","4",5,42119534,42154160,1605,1.31e-05,2.13e-05,1.44e-06,47,104,0,52.73467607,105.6651893,12.80159816,0.489565143,0.079234972,3.544229364,0.986764686,0.013229505,5.81e-06,"ENSG00000188848",389206
"BGN","X",7,152770089,152773903,1107,6.43e-06,1.32e-05,7.01e-07,53,85,0,50.14202239,99.76311887,7.691364901,-0.250211771,0.722952194,2.747207122,0.916364713,0.083068007,0.000567279,"ENSG00000182492",633
"BHLHE40","3",5,5021403,5025377,1239,7.36e-06,1.47e-05,6.22e-07,75,120,0,81.76899449,162.505655,8.716944846,0.464065233,1.630907774,2.924636163,0.941607018,0.058163982,0.000229,"ENSG00000134107",8553
"BIRC6","2",74,32582229,32842971,14574,5.07e-05,0.000124869,1.05e-05,598,1185,10,527.8010942,1287.995116,133.9490344,-1.894281983,1.403703956,10.60872207,1,4.09e-15,2.21e-43,"ENSG00000115760",57448
"BLNK","10",17,97951728,98031155,1371,6.07e-06,1.31e-05,1.78e-06,65,129,3,74.55102065,152.9954656,26.78965777,0.68576038,0.948870484,4.552965106,0.990011102,0.009988874,2.42e-08,"ENSG00000095585",29760
"BMP2","20",2,6750773,6759736,1191,7.04e-06,1.47e-05,7.3e-07,61,117,0,73.22270502,154.240897,8.551369372,0.885511138,1.466685018,2.89672666,0.938086416,0.061648296,0.000265288,"ENSG00000125845",650
"BMP4","14",2,54416749,54418940,1227,5.81e-06,1.62e-05,8.39e-07,64,131,0,66.68372,183.8298732,10.34719143,0.203740243,1.90584731,3.186404486,0.967466005,0.03248071,5.33e-05,"ENSG00000125378",652
"BMP7","20",7,55746014,55841178,1296,9.67e-06,2.01e-05,9.55e-07,66,114,0,91.55607867,190.3603267,11.86143524,1.655770322,2.707047722,3.41160232,0.981286768,0.018699628,1.36e-05,"ENSG00000101144",655
"BMPR1B","4",11,95972850,96075824,1599,4.98e-06,1.42e-05,1.37e-06,69,172,1,57.10451435,153.6773468,18.4723204,-0.975880426,-0.722937964,4.026981285,0.991704371,0.008295254,3.74e-07,"ENSG00000138696",658
"BMPR2","2",13,203242197,203424669,3117,1e-05,2.87e-05,2.57e-06,114,274,4,118.4878208,327.7575458,34.15253885,0.255591304,1.452376436,5.110955743,0.996668086,0.003331913,3.34e-10,"ENSG00000204217",659
"BMS1","10",22,43279842,43326544,3849,1.43e-05,3.63e-05,3.37e-06,173,427,7,166.4908521,409.658942,46.44963826,-0.312734058,-0.419065504,5.733786565,0.995287036,0.004712964,6.45e-12,"ENSG00000165733",9790
"BNC2","9",7,16418986,16870646,3300,1.36e-05,3.25e-05,2.05e-06,194,359,1,156.8410646,369.9730583,25.82573093,-1.839426228,0.279036317,4.839109035,0.999465645,0.000534354,4.65e-10,"ENSG00000173068",54796
"BOD1L1","4",26,13571634,13629211,9156,3.39e-05,7.93e-05,4.94e-06,385,954,8,350.33316,826.0950457,57.0238705,-1.148213211,-2.176651849,6.430858537,0.999528154,0.000471846,4.77e-15,"ENSG00000038219",259282
"BPTF","17",28,65821840,65978404,8763,3.49e-05,8.28e-05,7e-06,344,633,4,380.3733426,902.7914717,88.61806049,1.156184582,4.391885399,8.904132985,1,4.76e-12,9.47e-32,"ENSG00000171634",2186
"BRAF","7",18,140434396,140624503,2301,9.89e-06,2.22e-05,2.88e-06,92,101,2,91.89607277,222.8047926,38.78982427,-0.006721124,3.991338722,5.851382314,0.999978196,2.18e-05,3.88e-14,"ENSG00000157764",673
"BRD1","22",12,50167880,50217965,3177,2.29e-05,4.54e-05,2.57e-06,253,311,4,258.0602574,508.848433,32.82365799,0.195283314,4.289975223,4.983624228,0.994534773,0.005465225,1.12e-09,"ENSG00000100425",23774
"BRD2","6",13,32940675,32948495,2511,9.52e-06,2.49e-05,2.05e-06,169,285,1,107.564638,273.7875634,26.17403829,-3.67226042,-0.331442485,4.874243014,0.99953088,0.000469119,3.39e-10,"ENSG00000204256",6046
"BRD4","19",19,15349187,15383910,4089,2.41e-05,5.01e-05,3.15e-06,289,327,1,243.4710146,498.5752456,37.594582,-1.80889752,3.758422778,5.912128214,0.999993446,6.55e-06,1.03e-14,"ENSG00000141867",23476
"BRD7","16",17,50353121,50402685,1959,7.78e-06,1.79e-05,1.73e-06,83,215,4,94.51114179,209.0523151,26.50653116,0.734051036,-0.201204676,4.330338582,0.944865043,0.055134621,3.35e-07,"ENSG00000166164",29117
"BRINP1","9",7,121929361,122075633,2286,1.11e-05,2.82e-05,1.51e-06,139,244,1,128.712945,322.2352288,20.07306298,-0.562123036,2.131730115,4.21699708,0.995424258,0.004575655,8.74e-08,"ENSG00000078725",1620
"BRINP2","1",7,177199012,177250664,2352,9.75e-06,2.51e-05,1.52e-06,123,259,0,112.8102831,286.3723376,19.98109149,-0.594752796,0.791156173,4.427915056,0.999086308,0.000913683,8.49e-09,"ENSG00000198797",57795
"BRIX1","5",10,34915843,34925600,1062,3.81e-06,1.1e-05,7.82e-07,31,104,0,39.53365642,109.9852971,11.83827774,0.841397524,0.279148354,3.408270038,0.981126894,0.018859214,1.39e-05,"ENSG00000113460",55299
"BRPF1","3",13,9775824,9789033,3663,1.69e-05,4.59e-05,2.68e-06,202,310,3,195.5112436,520.2026867,35.59906997,-0.287692175,4.507839506,5.412222086,0.999626031,0.000373969,7.98e-12,"ENSG00000156983",7862
"BRPF3","6",12,36168099,36198386,3618,1.56e-05,4.16e-05,2.21e-06,177,336,3,175.2417096,457.5535633,28.13694889,-0.082342441,2.77947854,4.694223088,0.993940981,0.006059011,7.11e-09,"ENSG00000096070",27154
"BRSK1","19",19,55795810,55823436,2337,1.59e-05,3.41e-05,2.14e-06,130,141,3,155.4257015,329.9471539,28.16166319,1.264331452,5.087854754,4.696776782,0.993996393,0.0060036,6.95e-09,"ENSG00000160469",84446
"BRWD1","21",42,40558951,40685417,6963,2.27e-05,6.06e-05,6.06e-06,302,577,9,253.6100616,665.0346474,79.55519648,-1.883739752,1.669736022,7.835819635,0.999999462,5.38e-07,6.53e-23,"ENSG00000185658",54014
"BRWD3","X",41,79932107,80064970,5409,1.73e-05,4.97e-05,5.49e-06,155,209,0,137.4221689,374.2715018,52.96795968,-0.929577437,4.178506058,7.209353422,0.999999996,4.01e-09,7.56e-22,"ENSG00000165288",254065
"BSN","3",10,49592035,49702272,11781,5.97e-05,0.000141277,6.23e-06,582,1351,5,630.108321,1535.510334,73.1946182,1.188124295,2.303085595,7.895873989,0.999999992,7.92e-09,1.35e-24,"ENSG00000164061",8927
"BTAF1","10",38,93683833,93788690,5550,1.8e-05,4.71e-05,5.18e-06,241,362,2,214.706711,537.7463078,72.94840191,-1.112427541,3.706926034,8.22857126,1,6.17e-11,1.19e-27,"ENSG00000095564",9044
"BTBD2","19",9,1986486,2015702,1578,1.78e-05,2.9e-05,1.11e-06,129,145,0,141.3459806,237.2331718,12.99534539,0.643774787,2.928977463,3.570949292,0.987678942,0.012316184,4.87e-06,"ENSG00000133243",55643
"BTF3","5",6,72794492,72801063,621,2.81e-06,6.64e-06,7.28e-07,19,28,0,25.16498058,57.04111614,7.302051428,0.761873377,1.88077043,2.67677658,0.90437154,0.094830274,0.000798186,"ENSG00000145741",689
"BTK","X",18,100604872,100630272,1980,6.9e-06,1.83e-05,1.96e-06,56,40,0,60.477972,149.5318251,21.9557852,0.356970258,4.38116809,4.641562759,0.99956322,0.000436778,1.41e-09,"ENSG00000010671",695
"BZW2","7",11,16705068,16745713,1260,5.25e-06,1.15e-05,1.09e-06,78,87,0,58.71429435,125.7708225,15.9083819,-1.560318196,1.69095208,3.950960347,0.995822418,0.004177236,3.46e-07,"ENSG00000136261",28969
"C15orf39","15",2,75498389,75503457,3144,1.45e-05,3.32e-05,1.4e-06,182,352,2,164.3201081,374.528683,16.58692761,-0.855035099,0.569390193,3.547893075,0.919030415,0.080947867,2.17e-05,"ENSG00000167173",56905
"C17orf75","17",10,30658781,30669158,1191,4.13e-06,1.07e-05,1.21e-06,41,103,1,43.43706733,109.7573892,16.22724889,0.229238334,0.315485353,3.74445517,0.980996283,0.019000854,2.86e-06,"ENSG00000108666",64149
"C2CD2L","11",14,118978451,118986966,2124,1.24e-05,2.79e-05,1.58e-06,99,214,1,134.1492706,297.8857312,22.50420381,1.881360163,2.37727581,4.490360767,0.99815174,0.00184825,9.57e-09,"ENSG00000172375",9854
"C3","19",41,6677892,6720600,4992,2.99e-05,6.12e-05,4.87e-06,345,453,11,348.2304348,694.4926524,70.62867821,0.107317958,4.482152504,7.028365231,0.999590151,0.000409849,2.8e-17,"ENSG00000125730",718
"C6orf62","6",5,24706364,24718896,690,2e-06,6.13e-06,6.06e-07,30,51,0,24.769826,71.60026,8.966516,-0.651484087,1.190780929,2.966207692,0.946557424,0.053259187,0.000183388,"ENSG00000112308",81688
"CA10","17",9,49708944,50235146,987,3.57e-06,9.5e-06,1.02e-06,47,88,1,44.206555,111.4274415,15.27857353,-0.260462639,1.085536858,3.618537144,0.973117502,0.026875758,6.74e-06,"ENSG00000154975",56934
"CA11","19",9,49141375,49148889,987,5.2e-06,1.2e-05,1.23e-06,48,70,1,55.98684336,123.9920438,15.60074044,0.661730985,2.371641568,3.66177764,0.976097038,0.02389792,5.04e-06,"ENSG00000063180",770
"CABP1","12",6,121078488,121104703,1113,1.15e-05,2.2e-05,1.56e-06,16,20,0,21.59288617,57.86924077,15.1217555,0.746157137,2.434889193,3.852040667,0.994401234,0.005598059,7.07e-07,"ENSG00000157782",9478
"CACNA1A","19",47,13318126,13617038,7521,5.25e-05,0.000111603,7.13e-06,409,489,4,448.0716424,942.8936229,78.3231631,1.144292181,7.23001499,8.318954576,1,2.24e-10,1.12e-27,"ENSG00000141837",773
"CACNA1B","9",47,140772385,141016451,7020,4.64e-05,0.000101031,6.12e-06,408,552,13,383.5420315,806.6190646,69.37948632,-0.774219083,4.385036333,6.704945384,0.982603443,0.017396557,1.09e-14,"ENSG00000148408",774
"CACNA1C","12",49,2162728,2800365,6561,3.78e-05,7.93e-05,5.68e-06,390,415,8,380.0885802,781.5158898,72.28596837,-0.315167927,6.412691902,7.489949312,0.999998433,1.57e-06,4.37e-21,"ENSG00000151067",100874369
"CACNA1D","3",49,53529193,53845433,6546,3.17e-05,7.26e-05,6.31e-06,322,505,5,375.7621109,833.7172896,90.893736,1.719369475,5.568390481,8.924506333,1,1.06e-11,1.34e-31,"ENSG00000157388",776
"CACNA1E","1",48,181452880,181767970,6942,3.27e-05,8.13e-05,6.38e-06,359,463,0,357.0791326,859.0431817,82.41950378,-0.06301906,6.609239716,8.993001806,1,6.6e-14,1.68e-33,"ENSG00000198216",777
"CACNA1G","17",38,48638820,48704112,7134,4.3e-05,9.3e-05,4.88e-06,422,598,6,421.9823479,903.6153255,61.33175639,-0.000534165,4.972786935,6.998765733,0.999996517,3.48e-06,7.46e-19,"ENSG00000006283",8913
"CACNA1I","22",37,39966757,40082410,6672,4.92e-05,9.77e-05,4.83e-06,386,386,4,362.1782189,750.3489053,55.57887141,-0.776002098,6.505824541,6.853409204,0.999998894,1.11e-06,1.12e-18,"ENSG00000100346",8911
"CACNA2D1","7",39,81579707,82072775,3276,1.22e-05,2.81e-05,4e-06,136,199,5,142.4533049,310.6294694,56.42443877,0.335193099,3.097947681,6.781497926,0.999995804,4.2e-06,5.81e-18,"ENSG00000153956",781
"CACNA2D2","3",39,50402096,50540854,3453,2.21e-05,4.38e-05,3.78e-06,185,273,6,210.4275908,408.4797992,49.35744186,1.086684478,3.278730272,6.113318877,0.999693297,0.000306703,4.08e-14,"ENSG00000007402",9254
"CACNA2D3","3",38,54156740,55108233,3276,1.61e-05,3.4e-05,3.63e-06,158,286,7,155.87547,320.712345,48.79237409,-0.105491446,0.948073542,5.926670247,0.998032255,0.001967745,7.65e-13,"ENSG00000157445",55799
"CACNB1","17",14,37331445,37353748,1797,9.82e-06,2.3e-05,1.76e-06,84,161,2,108.8428054,246.8227621,23.73591679,1.476216801,2.671938712,4.419413873,0.993959622,0.006040343,3.49e-08,"ENSG00000067191",782
"CACNG2","22",4,36960397,37098621,972,6.08e-06,1.3e-05,7.03e-07,58,63,0,70.57345,148.9060636,9.64378927,0.927861728,3.443374116,3.076192739,0.958056003,0.041843845,0.000100152,"ENSG00000166862",10369
"CACNG3","16",4,24268075,24373184,948,5.31e-06,1.15e-05,1e-06,64,58,0,61.80907,132.135872,13.02233198,-0.172763441,3.154529705,3.574654243,0.987801232,0.012194012,4.76e-06,"ENSG00000006116",10368
"CACTIN","19",10,3611920,3626760,2277,1.88e-05,4.22e-05,2.05e-06,167,201,0,178.9811563,386.841153,20.87216006,0.555195667,4.621597185,4.525571081,0.999345096,0.0006549,3.77e-09,"ENSG00000105298",58509
"CACYBP","1",6,174969316,174979215,687,2.14e-06,5.43e-06,5.77e-07,31,48,0,26.48788505,63.55809889,8.80427945,-0.543507412,0.954525568,2.939250435,0.943386849,0.056401265,0.000211886,"ENSG00000116161",27101
"CAD","2",44,27440419,27466386,6678,3.28e-05,7.98e-05,5.62e-06,393,608,9,382.654007,906.5754609,81.13209663,-0.327882946,4.85030046,7.932715962,0.999999702,2.98e-07,1.55e-23,"ENSG00000084774",790
"CADM1","11",10,115047193,115375112,1329,8.12e-06,1.54e-05,1.03e-06,76,99,0,83.56865391,160.1253817,15.11464395,0.513270365,2.362697258,3.851133703,0.994386404,0.005612884,7.12e-07,"ENSG00000182985",23705
"CADM2","3",10,85775631,86115933,1314,4.98e-06,1.16e-05,1.14e-06,74,102,1,59.31582053,132.7562765,16.81133448,-1.181990306,1.305638575,3.819945364,0.98466891,0.015329402,1.69e-06,"ENSG00000175161",253559
"CADM3","1",10,159141555,159170712,1299,7.16e-06,1.43e-05,1.12e-06,70,117,1,76.04678457,152.1724676,15.54781089,0.429866129,1.394606253,3.654708446,0.975630651,0.024364062,5.29e-06,"ENSG00000162706",57863
"CADM4","19",9,44127481,44143942,1167,8.87e-06,1.84e-05,8.27e-07,54,83,0,91.25035333,187.9359126,11.611881,2.417477962,3.74399874,3.375522152,0.979491545,0.02049141,1.7e-05,"ENSG00000105767",199731
"CADPS2","7",30,121960218,122526391,3891,1.55e-05,3.72e-05,3.9e-06,162,349,6,141.4049065,338.1023122,44.05859172,-1.073695502,-0.289885987,5.67972268,0.997778954,0.002221046,5.08e-12,"ENSG00000081803",93664
"CALCRL","2",12,188210910,188250322,1386,4.55e-06,1.1e-05,1.15e-06,42,88,2,52.89332962,121.4925373,16.86039686,0.928559401,1.48624117,3.584975711,0.926324874,0.073658063,1.71e-05,"ENSG00000064989",10203
"CALD1","7",13,134552484,134653096,2382,8.43e-06,2.38e-05,2.36e-06,73,246,2,88.42966854,241.5832314,28.83332162,1.017201691,-0.138992324,4.950132123,0.999097704,0.000902296,3.37e-10,"ENSG00000122786",800
"CALR","19",9,13049493,13054727,1254,7.73e-06,1.43e-05,9.2e-07,93,131,1,82.23514897,150.1573934,12.98122893,-0.735916754,0.764679901,3.294072029,0.938728555,0.061218724,5.27e-05,"ENSG00000179218",811
"CAMK1D","10",11,12391817,12870886,1158,6.49e-06,1.3e-05,9.68e-07,76,91,0,75.72583641,147.056825,14.8505178,-0.019531316,2.261008297,3.81733719,0.993807052,0.006192043,9.05e-07,"ENSG00000183049",57118
"CAMK2A","5",19,149602272,149669188,1470,8.18e-06,1.78e-05,1.86e-06,87,46,2,94.29364384,197.5181715,26.7078106,0.465642454,5.273241151,4.735925011,0.998004221,0.001995777,2.34e-09,"ENSG00000070808",815
"CAMK2G","10",20,75574772,75634219,1671,8.65e-06,1.99e-05,1.95e-06,85,82,3,95.52003962,208.3334116,28.40028074,0.667297652,4.281098232,4.721357675,0.994506146,0.005493848,5.6e-09,"ENSG00000148660",818
"CAMKV","3",10,49896750,49899821,1506,6.8e-06,1.64e-05,1.14e-06,70,64,0,79.52136233,185.7357081,16.66270095,0.661921455,4.36904701,4.043545929,0.996846171,0.003153655,1.74e-07,"ENSG00000164076",79012
"CAMSAP2","1",17,200708955,200827187,4437,1.4e-05,3.83e-05,3.19e-06,165,353,3,163.7010369,437.067864,42.71638599,-0.062940889,1.966854075,6.019524363,0.999973882,2.61e-05,1.22e-14,"ENSG00000118200",23271
"CAMSAP3","19",19,7660888,7682943,3831,3.06e-05,5.95e-05,2.89e-06,193,306,1,261.714435,502.8025619,31.85681515,2.633197145,4.292877756,5.415513538,0.999943969,5.6e-05,1.91e-12,"ENSG00000076826",57662
"CAMTA1","1",23,6845590,7826551,5022,3.05e-05,6.04e-05,3.84e-06,271,483,1,346.0844098,674.1494111,50.93810516,2.502120017,3.600902266,6.931071415,0.999999955,4.46e-08,5.4e-20,"ENSG00000171735",23261
"CAMTA2","17",23,4872000,4890253,3726,1.71e-05,4.21e-05,3.68e-06,198,397,4,200.3481637,479.510036,50.163325,0.102847046,1.842995321,6.456447165,0.999991614,8.39e-06,1.55e-16,"ENSG00000108509",23125
"CAND1","12",15,67663497,67706610,3693,1.19e-05,3.01e-05,2.27e-06,172,199,1,138.0658533,341.1968104,31.14946583,-1.790369162,3.765336589,5.351111738,0.999927001,7.3e-05,3.64e-12,"ENSG00000111530",55832
"CAPN15","16",11,596838,603516,3261,2.85e-05,5.24e-05,2.24e-06,316,352,3,233.249241,432.8560783,23.38530459,-3.359012229,1.900891878,4.175758386,0.965209511,0.034789965,5.24e-07,"ENSG00000103326",6650
"CAPN6","X",12,110489804,110507164,1926,6.19e-06,1.86e-05,1.6e-06,55,111,1,52.54447931,149.2069172,16.78723899,-0.210004888,1.529902679,3.816860331,0.984532251,0.015466024,1.73e-06,"ENSG00000077274",827
"CAPRIN1","11",18,34073967,34120914,2130,8.9e-06,2.17e-05,2.28e-06,96,193,2,99.71363561,240.2951479,32.46278409,0.230553656,1.492313814,5.296224519,0.999767662,0.000232338,1.24e-11,"ENSG00000135387",4076
"CAPZA1","1",10,113162466,113212754,861,3.34e-06,8.64e-06,7.35e-07,38,89,0,40.49649363,98.64709304,12.12697989,0.24320394,0.475084274,3.44957843,0.983027525,0.016961775,1.07e-05,"ENSG00000116489",829
"CAPZA2","7",10,116502665,116557921,861,2.71e-06,7.49e-06,8.52e-07,32,45,0,32.23192362,83.75015214,12.76928534,0.025324716,2.071080767,3.539753892,0.986605821,0.013388198,5.98e-06,"ENSG00000198898",830
"CARD11","7",24,2946271,2998140,3465,2.2e-05,4.69e-05,3.36e-06,233,315,4,249.1023506,517.1149794,44.87002695,0.632486187,4.347318187,6.043888415,0.999939282,6.07e-05,1.93e-14,"ENSG00000198286",84433
"CARM1","19",16,10982378,11032433,1827,1.46e-05,2.63e-05,1.61e-06,116,92,0,127.0219635,237.5664548,20.9241891,0.606276037,4.619397143,4.531208229,0.999357708,0.000642288,3.6e-09,"ENSG00000142453",10498
"CASC3","17",13,38296801,38325874,2112,9.46e-06,2.44e-05,2.21e-06,96,213,5,104.8745882,266.4975602,29.62733634,0.537233514,1.602891188,4.481886076,0.913674729,0.086325059,2.12e-07,"ENSG00000108349",22794
"CASK","X",27,41379672,41782241,2766,1.17e-05,2.67e-05,3.02e-06,90,79,1,91.28043841,196.8965979,29.95057632,0.083084459,4.109591281,5.240156753,0.999885705,0.000114295,1.09e-11,"ENSG00000147044",8573
"CASKIN1","16",20,2228550,2246433,4296,4.05e-05,7.02e-05,2.97e-06,328,408,1,304.7946562,533.2392555,32.52117453,-0.824010898,2.652748103,5.47531295,0.999956295,4.37e-05,1.04e-12,"ENSG00000167971",57524
"CASKIN2","17",19,73497160,73509885,3609,2.25e-05,4.69e-05,2.36e-06,252,460,0,233.2038728,477.6398983,31.2638547,-0.763043554,0.394786478,5.538739275,0.999986555,1.34e-05,2.92e-13,"ENSG00000177303",57513
"CASZ1","1",18,10698998,10753946,5280,4.71e-05,8e-05,2.79e-06,355,581,2,477.4408339,817.3212016,36.01610712,3.473888508,4.043177174,5.614691884,0.999938476,6.15e-05,4.86e-13,"ENSG00000130940",54897
"CBFA2T2","20",11,32162006,32232452,1815,8.34e-06,2.01e-05,1.44e-06,96,149,0,99.155606,232.4290281,20.91335224,0.196459963,2.676629956,4.530034356,0.999355101,0.000644895,3.63e-09,"ENSG00000078699",9139
"CBFB","16",6,67063310,67132681,564,3.13e-06,7.67e-06,8.76e-07,34,35,1,33.38406272,80.3222853,11.73585417,-0.066087348,2.473490631,3.104337573,0.905733874,0.09410794,0.000158186,"ENSG00000067955",865
"CBLB","3",18,105377813,105586421,2949,1.05e-05,2.79e-05,2.76e-06,124,293,7,124.1543139,318.1643673,38.42742017,0.008584885,0.690044752,5.022012614,0.913125167,0.086874824,8.83e-09,"ENSG00000114423",868
"CBLL1","7",6,107384608,107399623,1476,4.66e-06,1.38e-05,1.37e-06,82,132,0,54.88837795,158.2764401,17.60980049,-2.268635495,1.021584331,4.156874421,0.997784848,0.002215079,7.36e-08,"ENSG00000105879",79872
"CBX1","17",4,46148796,46154366,558,1.99e-06,4.98e-06,6.59e-07,20,16,0,24.173588,58.1456118,9.14457745,0.526245827,2.703400174,2.995515033,0.949842678,0.050000853,0.000156469,"ENSG00000108468",10951
"CBX2","17",5,77752034,77758841,1599,9.93e-06,2.03e-05,8.02e-07,129,229,0,99.26578052,202.2160185,9.437020851,-1.850147018,-0.921264102,3.043036444,0.954823918,0.045055579,0.000120503,"ENSG00000173894",84733
"CBX8","17",5,77768433,77770797,1170,6.71e-06,1.65e-05,1.34e-06,83,121,0,67.20805287,162.4124858,15.23184826,-1.194193147,1.589418032,3.866037123,0.994625905,0.005373455,6.4e-07,"ENSG00000141570",57332
